datetime	t 	rh 	u 	p 	Qsi 	T_g
20101016T080000	-5.474	91.085	0.984	0.0622	6.142	3.469
20101016T090000	-5.585	91.292	1.005	0.0040	30.891	3.412
20101016T100000	-4.239	91.575	0.984	0.0000	194.745	3.337
20101016T110000	-2.763	79.863	0.984	0.0086	232.308	3.307
20101016T120000	-1.848	72.124	0.984	0.0000	439.110	3.302
20101016T130000	-0.747	67.532	0.987	0.0185	593.775	3.284
20101016T140000	-0.072	62.437	0.985	0.0000	589.433	3.330
20101016T150000	0.255	62.767	0.985	0.0165	537.899	3.406
20101016T160000	0.464	60.549	0.989	0.0339	447.857	3.455
20101016T170000	-0.111	72.795	1.041	0.0411	186.416	3.491
20101016T180000	-0.537	77.980	1.039	0.0012	76.277	3.500
20101016T190000	-1.886	77.980	1.073	0.0024	15.342	3.503
20101016T200000	-3.154	78.341	1.102	0.0020	6.142	3.482
20101016T210000	-3.601	83.011	1.082	0.0000	6.142	3.447
20101016T220000	-4.104	85.126	1.072	0.0255	6.142	3.394
20101016T230000	-4.609	86.106	1.072	0.0000	6.142	3.342
20101017T000000	-4.706	86.416	1.086	0.0125	6.142	3.279
20101017T010000	-4.700	84.971	1.144	0.0020	6.142	3.213
20101017T020000	-5.056	82.546	1.166	0.0012	6.142	3.150
20101017T030000	-5.072	80.121	1.138	0.0067	6.142	3.080
20101017T040000	-5.068	77.903	1.188	0.0110	6.142	3.017
20101017T050000	-5.287	77.980	1.089	0.0028	6.142	2.957
20101017T060000	-5.524	78.419	1.112	0.0000	6.142	2.900
20101017T070000	-5.696	77.284	1.186	0.0028	6.142	2.850
20101017T080000	-5.756	76.587	1.175	0.0000	6.142	2.792
20101017T090000	-5.643	75.839	1.191	0.0408	20.052	2.738
20101017T100000	-4.347	74.910	1.060	0.0000	159.036	2.672
20101017T110000	-2.189	67.594	1.011	0.1638	358.608	2.622
20101017T120000	0.196	56.349	0.991	0.0000	546.044	2.619
20101017T130000	2.042	43.822	1.013	0.0000	632.790	2.622
20101017T140000	3.307	40.166	1.060	0.0000	661.758	2.661
20101017T150000	3.817	38.727	1.034	0.0848	531.497	2.759
20101017T160000	3.617	39.676	1.046	0.0545	438.409	2.827
20101017T170000	2.158	47.157	1.037	0.0085	104.792	2.889
20101017T180000	0.787	52.840	1.031	0.0374	28.255	2.948
20101017T190000	0.439	50.808	1.066	0.0000	15.405	2.971
20101017T200000	-0.629	54.788	1.079	0.0000	6.142	2.948
20101017T210000	-1.389	56.953	1.191	0.0000	6.142	2.907
20101017T220000	-1.465	56.279	1.138	0.0000	6.142	2.861
